Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
720,4.57735892362069E-05,5.72243622213828E-05,8.72912558107441E-05,9.00515231143264E-05,9.60428464123358E-05,9.93461811684278E-05,0.000109633207085388,0.000110246599819517,0.000116544619484591,0.000116921641133276,0.000123155195956865,0.000121229064632497,0.000173449813438019,0.000174441171594702,0.00017845384942831,0.00017487323541642,0.000182314845281954,0.000182186145420165
721,3.62979742552688E-05,5.55684052291193E-05,7.75179252946215E-05,8.12204612933121E-05,8.95825447140839E-05,9.12298594592641E-05,9.2014295052207E-05,9.71131264063361E-05,0.000104855967141385,0.000101584409286111,0.000107561808504336,0.000108048158571961,0.000156989995387663,0.000159009709016551,0.000162073622156046,0.000167721558425235,0.000166595662633011,0.000165820455694103
722,4.54942204142381E-05,7.16999926154253E-05,8.61249515432977E-05,9.68309128865399E-05,9.6950719094931E-05,9.45781633615542E-05,0.000100140313888808,0.000111032858671347,0.000113271744411371,0.000117628092241446,0.000120780370347464,0.000119984935685198,0.000175353015892906,0.000179804048449986,0.00017661537790844,0.000179244875789802,0.000177747587013771,0.000186655068852657
723,4.57572064969193E-05,6.41338910416498E-05,7.87710309844466E-05,8.78309578708366E-05,9.05992688639003E-05,9.18575920425656E-05,0.000104189159193485,0.000104189159193485,0.000100369778251184,0.000114004079987075,0.00011526240316574,0.000114004079987075,0.000155124431205949,0.000158696758532845,0.000156328150196534,0.000160769290827117,0.000166690811667895,0.000157512454364689
724,4.12474353177735E-05,6.52510126987686E-05,7.91574559994114E-05,8.77077224067165E-05,8.4103565398429E-05,8.93255534093433E-05,9.81694334821674E-05,0.00010220317290041,0.000105768150509193,0.000103348069139784,0.000104766873429542,0.000114854177817418,0.000158756188560708,0.000159963228747217,0.000164372649922249,0.00016883539217353,0.000163327093166234,0.000167567277881867
725,4.87258364329734E-05,6.79506347530903E-05,8.40790695500159E-05,9.35171839512746E-05,9.29995004676425E-05,9.77147486259172E-05,0.000101883226068035,0.000107136934304603,0.000107486286633061,0.000117863197574833,0.000115418138659831,0.000117245093883673,0.000146027103473935,0.00015976182833654,0.00016100394278989,0.000161377514109576,0.0001606617400543,0.000163588795596223
726,4.68568306636282E-05,7.24984596029241E-05,7.8200526176104E-05,8.44962684336845E-05,8.45370359652771E-05,9.19596916264455E-05,9.87006647442027E-05,0.000104297429141939,9.99233273449849E-05,0.000113377717345241,0.000109334072363193,0.000115888008987525,0.00015547395858459,0.000156833638737345,0.000165386536060474,0.000160163641175279,0.000160336012984435,0.000165973704786437
727,5.27894350947206E-05,7.66810985313127E-05,8.57608757188408E-05,8.99783281718577E-05,9.12513676024294E-05,0.000100573819300602,0.000105723763875799,0.000101112669356374,0.000107584070551874,0.000116557564034708,0.000112810802785313,0.000117069496282928,0.000171192236017631,0.000165495852304791,0.000172712090879912,0.000166888082566969,0.000164977252342774,0.000173603443643761
728,4.86073254909211E-05,6.33511480754454E-05,7.87143436279732E-05,8.60743422429619E-05,8.57298095833932E-05,8.95715711761728E-05,0.000100150750487633,0.000105461842540338,9.93532863369595E-05,0.000109083142775631,0.000112823818387232,0.000108896294360542,0.000165301854532855,0.000161198774192144,0.000162239728636617,0.000169642426737687,0.000157688896790125,0.000162087074702721
729,3.43600879784214E-05,6.85132377770741E-05,8.51260206496105E-05,9.7466390537124E-05,9.07378682318836E-05,9.92295481207713E-05,0.000107469914297062,0.000111215355213764,0.000106725381948512,0.000114933560161613,0.000117877273195173,0.000117768576919479,0.000168619060281458,0.000161079928259067,0.000166299912877711,0.000167197389027825,0.000166682381616789,0.000168158075929181
730,4.91609625491921E-05,6.31177480034234E-05,8.88190474698379E-05,9.40033660264324E-05,9.38338144288549E-05,9.84775480378438E-05,0.000107028394008535,0.000109077121852552,0.000109747422144325,0.000115781711813998,0.000119218287552349,0.00012046975160688,0.000160869711777238,0.000169221376003496,0.000170243490400229,0.000174579759768252,0.000178897392292574,0.000176834526655406
731,4.28415504388972E-05,7.65462738810729E-05,9.97171603407678E-05,0.000102600051403266,0.000109478506591314,0.000114773551949487,0.000110737355808274,0.000112103978969217,9.88847432537527E-05,0.000110322611941084,0.000115254942232611,0.000114544129714709,0.000156363807335289,0.000157208299968366,0.000155763735623864,0.000160644241149359,0.000154812351842496,0.000160365296823756
732,4.95523484184129E-05,5.61638476709558E-05,9.27761179362303E-05,9.58684896651078E-05,9.64880068855631E-05,0.000101919894145955,0.000110573270952715,0.000111612421080012,0.00011278616630778,0.000124407748489743,0.000123173183511745,0.000119505244281058,0.000171815842286575,0.000175367410744005,0.000175765280579799,0.000171014504412753,0.000180178948236929,0.000180196183420712
733,5.82807598465556E-05,6.39894617866812E-05,8.99003442397278E-05,9.27148360354519E-05,0.000101635807600746,0.000103914608371641,0.00011079229420806,0.000110812935969927,0.000114733378549038,0.000121624991357319,0.00012246632967533,0.000123497174289033,0.000173615441410012,0.000172554303618,0.000177896877277609,0.000175974018893658,0.000181478098613514,0.000185892305010147
734,4.00223901536971E-05,5.82020262989322E-05,8.38549805482948E-05,8.49206398196182E-05,9.67930336749238E-05,9.35249621936792E-05,0.000100379535183358,0.000106834641308326,0.000105384152103788,0.000116546632848008,0.000112545252560978,0.000114586088254369,0.000162606694167947,0.000161198091167354,0.000166076093512523,0.000168204516837952,0.000164925317779415,0.000172098145328574
735,6.17501963570407E-05,7.15878902384517E-05,9.23571233431126E-05,9.95334022379769E-05,0.000104145476718067,0.000105557535879445,0.00010981991436237,0.000114665003058353,0.000113582870983681,0.000123146441039539,0.000127728471707684,0.000126698248435317,0.000180166658161624,0.000176249084148993,0.000176706522763137,0.000180744970043082,0.000181047463142821,0.00017948033516822
736,4.1870993236718E-05,7.59380737554814E-05,9.77455075448273E-05,9.8769020712836E-05,0.000100816047048853,0.00011105117872894,0.000109771787268929,0.000119751040657014,0.000111382315342119,0.000129474415753096,0.000125124484789059,0.000123077458453042,0.000172822715253922,0.000175803438269723,0.000182727203818017,0.000177007571408557,0.00018603856994981,0.000187844769658061
737,5.648476510542E-05,4.96228547254213E-05,8.5173817963751E-05,9.89024200925647E-05,9.58618572049751E-05,9.77546977377631E-05,0.000107507333244795,0.000109438230888824,0.000110869908779512,0.000115036632252996,0.000119817807228409,0.000119829825263537,0.000166893074715038,0.000166430934714248,0.000164444424201779,0.000172581340927228,0.000168728500253579,0.000178128488906291
738,4.89749587770776E-05,7.32367471113441E-05,8.15301880713046E-05,9.01882611408236E-05,9.0957867635892E-05,9.43729964577578E-05,0.000100241245982654,0.000102534031999212,0.000107292199606589,0.000116018179131556,0.000117124488468216,0.000116034212600203,0.000155734920877051,0.0001633904769677,0.000169992493469512,0.000162843452743264,0.000162749138221809,0.000164729743172353
739,5.03296568776464E-05,7.76133341110787E-05,8.74809817836674E-05,9.47474515911639E-05,9.95040152068563E-05,0.000102526352206435,0.000111633553856759,0.00011171192562736,0.000120058932923637,0.000125437033145391,0.000127961006065251,0.000122537277633163,0.000167117341353767,0.000179028075430268,0.000177855454066227,0.000178108418755647,0.000179607293644362,0.000188451601150167
740,6.44305984520162E-05,6.40149171716806E-05,8.86565034699743E-05,9.66458976780243E-05,9.38109513461356E-05,9.9480844009913E-05,0.000106439348642731,0.000112109241306508,0.000115217070173017,0.000118036856364094,0.000121644969877407,0.000123449026634063,0.000176603214117658,0.000174644822156995,0.000181618486930625,0.000172522402443281,0.00018131528411438,0.000182528095379359
741,5.38935487873894E-05,6.52529819773103E-05,8.13555954021324E-05,8.29617625674911E-05,9.14042291753567E-05,9.68240344594689E-05,9.72699678056302E-05,0.00010447148867644,0.00010921984202038,0.000110694377543232,0.000110950637882429,0.000108597885476891,0.000166422020463716,0.000164286734918437,0.000162494455566019,0.000167021444605835,0.000171892646236511,0.000170995319620335
742,4.81699769114083E-05,7.52700438272375E-05,9.08394433094465E-05,9.85525319671876E-05,0.000106476272205917,0.000108388340402584,0.000111126810955438,0.000114853723542161,0.000123531424869407,0.000122777463780891,0.000126066869237869,0.000128837747726259,0.000181165672426623,0.000180264375550172,0.000178472407349906,0.000180664708871508,0.000181408185039704,0.00018493493096576
743,6.24892992493848E-05,7.3010947097765E-05,0.000102899353547747,0.000107442671484908,0.000111415791860504,0.000114143000126491,0.000118174966513779,0.000131102826530594,0.000133877660676225,0.000137161936562019,0.000138616853471775,0.000141528716464104,0.000181018847836388,0.000199104824061683,0.000193339585999396,0.000195469023826129,0.000194530829806055,0.000199641958042641
744,4.73069926736607E-05,6.88240441800676E-05,9.13261493565019E-05,9.78308608491302E-05,0.000102254064664118,0.000105116137720874,0.000114222733810554,0.000120207068383772,0.000116013442621465,0.000117865372246426,0.000119946879924067,0.000124630272198759,0.000174880767998532,0.000175703736318526,0.000178152568880456,0.000180907505512628,0.000177540360739974,0.000184886858425766
745,6.26911077993303E-05,6.50538913676732E-05,8.72312585898778E-05,9.31672040210681E-05,9.97928536653015E-05,0.000100837612709911,0.000106749071600994,0.000115270387558591,0.000110777587577003,0.000117357865102801,0.000125452707153517,0.000118433232322546,0.000166056876708079,0.000165555418183398,0.000170606367240978,0.000168392976066506,0.000172147578883072,0.000171038482654649
746,5.94246330727484E-05,7.1053836448031E-05,9.01002040053233E-05,9.57727275128221E-05,0.000101342884832792,0.000100933779262284,0.000111447325490866,0.000115340473233396,0.00011402600264704,0.000122211219904386,0.000120166410411054,0.000123771855289689,0.00017070982296271,0.000173685312533603,0.000176288308261881,0.000175170203278598,0.000177500645071042,0.00018020125313913
747,5.34856658378202E-05,5.98543193194617E-05,8.91885265513125E-05,9.80449862655412E-05,0.000101791900613662,9.7310392833761E-05,0.000112494215686532,0.000113863779253507,0.000117608050472929,0.000119222126100005,0.000122121472143929,0.000125295809297757,0.000175188501487391,0.000168423785599626,0.000180095841936983,0.000177968954031411,0.000182938035986626,0.000180379789477282
748,6.29890376326476E-05,6.19987952240448E-05,8.37373695307291E-05,8.90590433672932E-05,8.406131315284E-05,9.79294424546466E-05,0.000103280939672294,0.000104369750179944,0.000109939387584581,0.000105716687192831,0.000110785376486414,0.000114442854238912,0.000153740878195374,0.000163412770360455,0.000164733347255073,0.000169704717351257,0.000165899665282019,0.000169509927722275
749,7.12805928869303E-05,7.45826206299684E-05,8.87759009441635E-05,0.000100128898264998,0.000101155386621443,0.000111188723704076,0.000112425099405947,0.000115439844912992,0.000128195999352834,0.000128515774963735,0.000128901513868844,0.000128101415056976,0.000175860859077262,0.000181003643328348,0.000179671940124958,0.00018274274457323,0.000185194109854914,0.000184586197959791
750,6.38939651479168E-05,6.61552481535698E-05,9.13076049579212E-05,9.61390850825222E-05,9.76636452545659E-05,0.000105820404180471,0.000109827804714111,0.000109636458966602,0.000115820151197664,0.000120057562096474,0.000122431283666923,0.000120671161365175,0.00016835373744052,0.000167292765690121,0.000166388968844574,0.000175876858382024,0.000167083471772336,0.000177151482677831
751,5.06502623466541E-05,7.21863174136449E-05,9.126471130769E-05,9.49914387089524E-05,9.57108230091189E-05,9.98373525836967E-05,0.000107143607495136,0.000109607323485243,0.000118452923662924,0.00011572429673697,0.000122354782130786,0.000125822676566597,0.000161229568158365,0.000183149100712737,0.000175591037625751,0.000184704633538325,0.000179287604244266,0.000182087135734419
752,5.19679761770788E-05,7.863194441549E-05,9.48203931474851E-05,0.000101923503419195,9.98599500778846E-05,0.000109307948179738,0.000116245536957556,0.000117048420304503,0.000116812676179045,0.000129843804341019,0.000126056589279504,0.000127519736824572,0.000168321570097292,0.000168675465236523,0.000174598844483368,0.000183317963206224,0.000182235919256139,0.0001754515588017
753,5.61254215558099E-05,6.08867647034482E-05,8.94593024762989E-05,9.6100136475311E-05,9.44835781813484E-05,0.000101740604323087,0.000109453576112154,0.000110194259424757,0.000113023366933081,0.000120518674915696,0.000125545038522965,0.000122249545856212,0.000159626114615031,0.000165499411748042,0.00016979741987714,0.00017096418876488,0.000173117798496091,0.0001737856201621
754,6.32661053111672E-05,7.29321770574803E-05,9.58540243495431E-05,0.000100684597553671,0.000108933320111958,0.000102953518989935,0.000113795780012921,0.000118140473139867,0.000121647594680423,0.000130039699753022,0.000127644799727623,0.000132323780438601,0.000172777308409256,0.000177076636450519,0.00017764057282463,0.000179904313057021,0.000178595328790614,0.000185004954591237
755,5.58838474218438E-05,7.57673739781876E-05,9.38048475915946E-05,0.000101110053473845,0.000107239856523461,0.000106547241170334,0.000116241760454958,0.000121830097568525,0.000126086258053011,0.00012406773763903,0.000130111618662994,0.000125104826966955,0.00017835777224262,0.000182025872982375,0.000186369434781335,0.000186619681140122,0.000187836396194918,0.000195593416946997
756,5.50770191610156E-05,6.1641167749372E-05,9.25464910699755E-05,9.96544188456536E-05,0.000101218488694733,0.000104894604493862,0.000114466585877932,0.000123368439249741,0.000120377965760018,0.000126780023920549,0.0001277627557488,0.000125719797869006,0.000177563187784551,0.000184261020229279,0.000183745525256396,0.000179459932457253,0.000187309486903451,0.000186236775242254
757,6.48852522573056E-05,7.83971278334497E-05,9.29360160785184E-05,0.000103294338638817,0.000105849816396613,0.000110875712213547,0.000116825940978736,0.000123916443722826,0.000118622573451864,0.000132994920662465,0.000130902662749678,0.000131682157201767,0.000179674852676612,0.0001708589256357,0.000185202429073054,0.000187605973571984,0.000183837694151967,0.000184159901715629
758,5.71618816275991E-05,6.67138972047895E-05,9.23139399485018E-05,0.000102604640441514,0.000102076031195694,0.000101561430094887,0.000118722729260453,0.000118848009651712,0.000115914368263385,0.000123714386368736,0.000123944331390668,0.000129463540526281,0.000173808886457145,0.000177279060877621,0.000171890666983018,0.000178993309567156,0.000177570106909438,0.00018024549158652
759,5.69981339279629E-05,6.26906981650971E-05,9.04806860605836E-05,9.36730862878582E-05,9.28164919411609E-05,9.63494148593447E-05,0.000107757453766748,0.000114703799404132,0.000112776835367788,0.000124198248841969,0.000123413037357497,0.000124735470975454,0.000177317716917192,0.00017782326330392,0.000176736501994059,0.000174971992288606,0.000177598072923743,0.000180392424271139
760,6.82561569292407E-05,7.7729326021783E-05,9.3428276005713E-05,0.000103272339493998,0.000106891269510661,0.000111382122028769,0.000118108836756554,0.000119272994100044,0.000118478255977468,0.000136694441374503,0.000131406053405652,0.000126339498248716,0.000190216573281593,0.000178931486900878,0.000182195453163413,0.000183698509158484,0.000185677579767922,0.000190828101652468
761,4.84377979655548E-05,8.04275510170517E-05,9.12829085256933E-05,9.34041074564884E-05,0.000105348265261735,0.000109271964099834,0.000123347704513333,0.000119353716166294,0.000131538483981758,0.000127716303993248,0.000125545582908427,0.000126267381615768,0.00018237386523667,0.000187310264934946,0.000190574780363552,0.000190486761860824,0.00019154204419425,0.000193194348827324
762,5.4033854941714E-05,6.72562488917009E-05,9.87771062125562E-05,0.000102306939318265,0.000103636402070798,0.000111860216160538,0.000122500458330816,0.000120454186010626,0.000119336507903083,0.000129773511593112,0.000128194073521904,0.000134061816819591,0.000174848313617647,0.000177624493409495,0.000182164015033721,0.000181859872112054,0.00018544706192267,0.000186736213170192
763,4.82974337067927E-05,6.61432602673176E-05,9.89735624739934E-05,0.000106847461359248,0.000106667926205513,0.000116372175296483,0.000121337711557387,0.000122487324305189,0.000125430701313514,0.000137718424177894,0.000130873913607137,0.00013694417882741,0.000175799217793394,0.000183870462516029,0.000186506913618152,0.000192919512018907,0.000191695894453269,0.000190904770535285
764,4.89863246620503E-05,6.90867553720678E-05,8.95397965370851E-05,9.65653239412506E-05,0.000100373551246767,0.000104742985360437,0.00011758112659962,0.000116433276606035,0.000118503592965434,0.000120426252335992,0.000125717286561141,0.000123328141356394,0.000172738679509593,0.000176220386767342,0.000175149381408271,0.000178743234391107,0.000180599538679637,0.000183301307198682
765,4.82333489699952E-05,7.17045195898362E-05,9.66750223395886E-05,9.97318764726082E-05,0.000104463513543466,0.000104254969829375,0.000117926913450443,0.000117345242679779,0.000122947446478474,0.000125351927435417,0.000123205910758027,0.000127177355061325,0.000171431387576129,0.000182352604025018,0.000179958435149507,0.000186654350288302,0.000186484374389475,0.000190850768258064
