Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
Irradiance,0.669536136261406,0.52161555747142,0.409046438907363,0.418390179948872,0.292137368260575,0.297678314031924,0.29864810705094,0.429409314580696,0.432183376618878,0.36361863270449,0.252297628517274,0.253368605419053,0.575063688675246,0.531652310874905,0.534123906890514,0.4595293120671,0.459340693062051,0.517864058786233
Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Intensity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak Wl,632,631,522,521,522,522,468,468,468,468,468,468,629,630,630,630,630,630
FWHM,17.0004900516159,16.1714440368977,32.7623320450164,32.6590386940175,31.5314107546302,31.7861475833632,20.344365888074,21.2357685907448,21.1570820747734,20.7488271378766,19.9355621704619,19.9075023379872,15.1496281177556,15.3532978431447,15.3956371586891,15.4225191537386,15.4660810482594,15.2725675933509
Centroid Wavelength,629.292815076885,626.924007773796,549.229700729466,550.436781501643,562.764594187956,563.151935989844,535.772543257053,517.049690230113,517.367091529425,529.250163898521,555.562178212602,556.032842002039,589.972670080928,586.150344505952,586.462763221249,596.471783596631,596.834332223172,573.761542630451
Photosynthetic Photon Flux Density,3.29567007831646,2.41867214684869,1.44236093236989,1.4533023524359,0.891287125104533,0.897691929575593,0.79270568897179,1.29454866409397,1.30050987462988,1.0076184498038,0.56578398025478,0.566889452745468,1.99004147944929,1.74699010476184,1.7496340695761,1.41299458248572,1.4120072937485,1.58887246127396
Photosynthetic Photon Flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photosynthetic Photon Flux Intensity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPF Density,3.33090041064838,2.46571829671453,1.50470493458188,1.52084436696785,0.960279820837294,0.969847038603422,0.870591186120907,1.37538663930512,1.38210880148933,1.09336856083209,0.652860361811695,0.654353941500685,2.11232414431048,1.87113565813618,1.87543160445413,1.54019181988151,1.53946747535372,1.7180490032226
PPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPF Intensity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPF Density,3.25794573237406,2.40227848778562,1.15445213768087,1.16702887712771,0.739054823483448,0.746444322892059,0.627768439626524,0.9833700209039,0.988283078238718,0.786602598938154,0.477721301700326,0.478891529609867,1.84631167459482,1.60497775885975,1.60795063120964,1.35226395465305,1.35114282877892,1.45164977123615
YPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photon Flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photon Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photon Irradiance,3.5220795441843,2.73361785403492,1.87801473624122,1.9251354640206,1.37431486507974,1.40134524360913,1.33755788207115,1.85599203480937,1.86912877808743,1.60871642376069,1.17170479015131,1.17767541786393,2.83609128036558,2.60500820499292,2.61851354263604,2.29126588049896,2.29171751448768,2.4838168638377
Mfgr.,"Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix","Orb Optronix"
Model,"SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200","SP-200"
Serial,"2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939","2015939"
Integration Time,0.22,0.31,1,1,1,1,1,1,0.85,1,1,1,0.61,0.85,0.85,0.85,0.85,0.85
Averages,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Saturation,0.904416028321177,0.954954680013428,0.878383739738151,0.877407147434919,0.552507095553453,0.549760429700613,0.600573747978149,0.973174230170599,0.836756492812891,0.752800073244423,0.402691732535783,0.403118991668447,0.881649220252083,0.916867580187384,0.915097506637776,0.915250099185156,0.914883877071444,0.927762688070315
Optical Saturation,0.900817024510735,0.95303401533713,0.86820346606694,0.867145125016537,0.515048286810425,0.512071702606165,0.567138510384972,0.970928694271729,0.824743619147472,0.732107421616616,0.352692155046964,0.353155179256515,0.874640374979797,0.910749975426756,0.908849644507061,0.909013466138069,0.908620294223649,0.922446839880738
Calibration File,"SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx","SP-200 2015939 Diffuser 2015-12-18 Attachment 2.calx"
Calibration GUID,"4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c","4f22a5dc-17e0-b717-0050-8f403e25c18c"
Absorption File,"","","","","","","","","","","","","","","","","",""
Absorption GUID,"","","","","","","","","","","","","","","","","",""
Spectrum,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000,Irradiance:350-1000
350,0.000830140724028526,0.00136429129428171,0.00191488781349117,0.00202230252743423,0.00224208756168826,0.00232829608572887,0.00243181896221022,0.00250736385160576,0.00250263972053786,0.00270959237464364,0.00279317174626568,0.0027992862553444,0.00384341988454026,0.00397201440078536,0.00401327296524866,0.004030173205834,0.00407258151574351,0.00420138352993364
351,0.000682580315388675,0.00114934959110933,0.00187498810829066,0.00215059356909737,0.00213937541360851,0.00225531957965483,0.00236422046277776,0.00246960841418704,0.00245543850800599,0.00268829857473404,0.00273692219484982,0.00278146965287803,0.0038921627107206,0.00389411127537603,0.00391897675216292,0.00396909025153343,0.00391934563560976,0.00397733547968777
352,0.00109053091166407,0.00136775283562869,0.00198457148760032,0.00212163213025113,0.00212169908299835,0.00226412431452009,0.00252073745642394,0.00262187795019173,0.00264880821586176,0.00288901104250237,0.00277313257525298,0.00284416944005241,0.00399348441476234,0.00438132870206176,0.00428009220986964,0.00442899315048638,0.00425139114249559,0.00433517069044956
